,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
154382,282120484.13514066,17.0,281317504.62898636,10.0,260048221.25923985,18.0,113742778.74455056,43.0,353225344.834068,9.0
96525,236819310.5472585,69.0,319765939.93244773,3.0,270836215.68260133,12.0,290789536.31880444,4.0,379969487.0323468,3.0
93255,219067935.06242377,94.0,251420437.9292371,38.0,209759116.9559841,85.0,103603087.4392632,58.0,335095298.59103364,20.0
94841,257723433.56098598,45.0,233166346.52167216,66.0,227658308.69074512,50.0,45986049.19085468,172.0,217270049.64607364,114.0
117098,153400285.0142118,191.0,232631259.67620376,67.0,205597023.39950603,93.0,260267684.20028725,6.0,268137738.38126856,51.0
105665,245112173.9757677,59.0,328036292.39753336,2.0,276966741.580294,9.0,296505771.93193865,2.0,385768316.6459466,2.0
156386,228904731.07369116,80.0,223095753.83007154,90.0,210934047.71290466,82.0,67167516.94343011,112.0,242659801.0057088,75.0
155235,202806701.72221354,120.0,229808384.05377138,75.0,204058343.99996996,96.0,118280221.39945766,36.0,238837392.15314332,84.0
155234,274119587.18720984,19.0,251098342.2486108,39.0,242773528.67918342,32.0,60281292.52355741,127.0,251239675.28464738,66.0
146492,262456722.9267449,34.0,203268029.80425996,133.0,210533110.76480764,83.0,83922812.43302518,85.0,234890292.02146578,91.0
116764,215462052.1863782,102.0,209036138.53031272,120.0,200231018.63415742,102.0,60840096.489752166,124.0,224274563.594771,105.0
116760,223045756.73939702,85.0,216604126.54613543,105.0,205606331.61761695,92.0,63954091.109529786,119.0,229484426.81796733,97.0
156353,170412135.42968458,168.0,236227209.27958062,59.0,189949250.2937828,123.0,163462173.58048737,24.0,325684105.21838516,25.0
156345,193355232.99574497,134.0,259140530.20700192,26.0,205368364.75246108,94.0,165170099.3011854,22.0,341105878.7944946,17.0
156366,165792286.4244715,176.0,225903909.51327652,84.0,171825633.65927982,156.0,115177755.75924508,39.0,238434100.27502355,87.0
154855,265894786.58550006,28.0,265106991.51184562,23.0,249422212.05172032,21.0,115084358.36550394,40.0,342431126.3436891,14.0
156367,125586730.6955882,208.0,184193412.6533744,164.0,140709091.4798624,197.0,99110097.42771812,64.0,188460392.92287454,154.0
146491,258797655.88791323,40.0,254224522.15249082,30.0,234082751.93668267,42.0,77496796.66358398,90.0,281339599.1882438,39.0
146360,258060551.70479065,42.0,253494248.6643395,33.0,233308758.12785912,43.0,74892475.37093304,98.0,280731848.66437376,40.0
156362,170412135.42968458,168.0,236227209.27958062,59.0,189949250.2937828,123.0,163462173.58048737,24.0,325684105.21838516,25.0
155247,246484117.68477923,56.0,266804352.28577155,21.0,246709808.96947145,25.0,217673984.82496464,10.0,310781563.2401308,30.0
116763,250830285.4640961,51.0,244364343.28604493,49.0,223721940.63606754,58.0,60923521.88545912,123.0,247935913.50979668,69.0
156323,135192174.56718025,207.0,195343511.9304186,148.0,151260554.08284533,182.0,112899828.03188294,44.0,217865474.12905538,113.0
156364,125586730.6955882,208.0,184193412.6533744,164.0,140709091.4798624,197.0,99110097.42771812,64.0,188460392.92287454,154.0
154857,240826851.2479685,62.0,235008274.95839024,62.0,218667799.1535102,66.0,65505571.23113995,115.0,250561262.94222555,67.0
